"Capítol","Text_Capítol","Article","Text_Article","Concepte","Text_Concepte","Subconcepte","Text_Subconcepte","Orgànic","Text_Orgànic","Àrees","Text_Àrees","Política","Text_política","Grup_de_programes","Text_Grup_de_programes","Programes","Text_Programes","Subprogrames","Text_Subprogrames","PREV.INICIAL","MODIF.PREVISIÓ","PREV.DEFINITIVA","DRETS_RECONEGUTS","DRETS_ANUL./CANC.","DRETS_LIQUIDATS","RECAPTAT_LIQUIDAT"
"1","IMPOSTOS DIRECTES","10","IMPOST SOBRE LA RENTA","100","IRPF","10000","Cessió IRPF","0703","GERÈNCIA PRESSUP I HISENDA-SERV.CENTRALS","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","63420466.53","0,00","63420466.53","41808031.02","128739.18","41679291.84","35706715.98"
"1","IMPOSTOS DIRECTES","11","SOBRE EL CAPITAL","112","SOBRE BENS IMMOBLES DE NATURALESA RÚSTEGA","11200","IBI de naturalesa rústega","0703","GERÈNCIA PRESSUP I HISENDA-SERV.CENTRALS","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","10,00","0,00","10,00","74370.47","133.65","74236.82","65054.99"
"1","IMPOSTOS DIRECTES","11","SOBRE EL CAPITAL","113","SOBRE BÉNS IMMOBLES DE NATURALESA URBANA","11301","IBI de naturalesa urbana","0703","GERÈNCIA PRESSUP I HISENDA-SERV.CENTRALS","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","700.156.800,00","0,00","700.156.800,00","446104492.48","20565257.91","425539234.57","400873176.44"
"1","IMPOSTOS DIRECTES","11","SOBRE EL CAPITAL","114","SOBRE BÉNS IMMOBLES DE CARACT. ESPECIALS","11401","IBI de característiques especials","0703","GERÈNCIA PRESSUP I HISENDA-SERV.CENTRALS","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","12.820.000,00","0,00","12.820.000,00","14834142.05","5012278.13","9821863.92","9384668.58"
"1","IMPOSTOS DIRECTES","11","SOBRE EL CAPITAL","115","SOBRE VEHICLES DE TRACCIÓ MECÀNICA","11500","Impost sobre vehicles tracció mecànica","0703","GERÈNCIA PRESSUP I HISENDA-SERV.CENTRALS","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","53466459.7","0,00","53466459.7","59493614.65","2212582.15","57281032.5","43209765.9"
"1","IMPOSTOS DIRECTES","11","SOBRE EL CAPITAL","116","SOBRE INCREM. VALOR TERRENYS NATURALESA","11600","I. s/ increm. valor terrenys nat. urbana","0703","GERÈNCIA PRESSUP I HISENDA-SERV.CENTRALS","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","157529968.58","0,00","157529968.58","153504664.24","11235421.72","142269242.52","136620332.12"
"1","IMPOSTOS DIRECTES","13","SOBRE ACTIVITATS ECONÒMIQUES","130","SOBRE ACTIVITATS ECONÒMIQUES","13000","Impost activitats econòmiques (IAE)","0703","GERÈNCIA PRESSUP I HISENDA-SERV.CENTRALS","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","80.726.000,00","0,00","80.726.000,00","7703012.95","1514391.71","6188621.24","4655620.73"
"1","IMPOSTOS DIRECTES","13","SOBRE ACTIVITATS ECONÒMIQUES","130","SOBRE ACTIVITATS ECONÒMIQUES","13001","Impost activitats profesionals i artísti","0703","GERÈNCIA PRESSUP I HISENDA-SERV.CENTRALS","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","0,00","0,00","0,00","5279.84","28919.28","-23639.44","-23639.44"
"1","IMPOSTOS DIRECTES","13","SOBRE ACTIVITATS ECONÒMIQUES","130","SOBRE ACTIVITATS ECONÒMIQUES","13004","Quotes nacionals i provincials IAE","0703","GERÈNCIA PRESSUP I HISENDA-SERV.CENTRALS","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","0,00","0,00","0,00","10235704.12","1396900.6","8838803.52","8838803.52"
"2","IMPOSTOS INDIRECTES","21","IMPOST SOBRE EL VALOR AFEGIT","210","IVA","21000","Cessió IVA","0703","GERÈNCIA PRESSUP I HISENDA-SERV.CENTRALS","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","37030223.67","0,00","37030223.67","20760496.19","214877.97","20545618.22","17579833.05"
"2","IMPOSTOS INDIRECTES","22","SOBRE CONSUMS ESPECÍFICS","220","IMPOSTOS ESPECIALS","22000","Cessió IE alcohol i derivats","0703","GERÈNCIA PRESSUP I HISENDA-SERV.CENTRALS","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","474604.95","0,00","474604.95","248996.16","1160.31","247835.85","212264.97"
